Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,BP,Comm,Graph
GO_Biological_Process_2018,Golgi vesicle transport (GO:0048193),10/271,1.96E-06,0.000751476,0,0,7.754473279,101.9256795,TRAPPC3;TMEM115;RER1;PEF1;RAB1B;LMAN2;DCTN3;TMED3;PREB;NRBP1,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,protein retention in ER lumen (GO:0006621),3/6,2.94E-06,0.000753355,0,0,191.25,2435.789042,OS9;RER1;GPAA1,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,maintenance of protein localization in endoplasmic reticulum (GO:0035437),3/9,1.22E-05,0.002345469,0,0,95.61057692,1081.620031,OS9;RER1;GPAA1,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,"retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)",5/80,6.97E-05,0.010709888,0,0,12.95294118,123.971819,RER1;TMEM115;RAB1B;LMAN2;TMED3,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,"vesicle targeting, rough ER to cis-Golgi (GO:0048207)",4/63,0.00036184,0.034736616,0,0,13.05512588,103.452853,TRAPPC3;PEF1;RAB1B;PREB,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,vesicle coating (GO:0006901),4/63,0.00036184,0.034736616,0,0,13.05512588,103.452853,TRAPPC3;PEF1;RAB1B;PREB,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,COPII vesicle coating (GO:0048208),4/63,0.00036184,0.034736616,0,0,13.05512588,103.452853,TRAPPC3;PEF1;RAB1B;PREB,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,regulation of translational initiation in response to stress (GO:0043558),2/6,0.000419413,0.035789936,0,0,94.70952381,736.5231686,EIF2S1;PPP1CA,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,COPII-coated vesicle budding (GO:0090114),4/68,0.000484678,0.037223237,0,0,12.03216019,91.82976774,TRAPPC3;PEF1;RAB1B;PREB,GO_Biological_Process_2018,c6,PD
GO_Biological_Process_2018,protein complex assembly (GO:0006461),6/189,0.000539385,0.037658899,0,0,6.398311962,48.14781234,TRAPPC3;PEF1;RAB1B;DDIT3;PREB;MEN1,GO_Biological_Process_2018,c6,PD
KEGG_2019_Human,Protein processing in endoplasmic reticulum,6/165,0.000261645,0.026687821,0,0,7.373061834,60.81685361,OS9;DDIT3;LMAN2;ERP29;PREB;EIF2S1,KEGG_2019_Human,c6,PD
GO_Biological_Process_2018,cellular response to mechanical stimulus (GO:0071260),4/48,2.52E-05,0.009792784,0,0,26.98100407,285.6812732,CD40;CASP8;IRF1;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of intracellular signal transduction (GO:1902533),9/479,4.80E-05,0.009792784,0,0,6.009986273,59.76615781,FGR;CD40;CASP8;CASP10;ROR1;ADRB2;TRIM38;VAV1;LIMS1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,neutrophil activation involved in immune response (GO:0002283),9/483,5.12E-05,0.009792784,0,0,5.9580441,58.86696868,FGR;RAP1A;NPC2;COPB1;C3AR1;PYGL;CD58;LILRA2;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,cytokine-mediated signaling pathway (GO:0019221),10/633,7.62E-05,0.009792784,0,0,5.080125253,48.17324074,CCR1;CD40;IFITM2;IRF1;IRF2;TRIM38;IFI35;VAV1;NFKB1;LIMS1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,cellular response to type I interferon (GO:0071357),4/65,8.38E-05,0.009792784,0,0,19.44506973,182.5269231,IFITM2;IRF1;IRF2;IFI35,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,type I interferon signaling pathway (GO:0060337),4/65,8.38E-05,0.009792784,0,0,19.44506973,182.5269231,IFITM2;IRF1;IRF2;IFI35,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),6/204,8.63E-05,0.009792784,0,0,9.198601399,86.07485824,CD40;CASP8;CASP10;TNFAIP3;ROR1;TRIM38,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of NF-kappaB transcription factor activity (GO:0051092),5/128,9.22E-05,0.009792784,0,0,12.19881744,113.3502442,CD40;BTK;ROR1;TRIM38;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,B cell activation (GO:0042113),4/73,0.000131908,0.012458005,0,0,17.18364698,153.5084555,CD40;CASP8;BTK;PLCG2,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042),3/31,0.000179431,0.015251611,0,0,31.35661765,270.4734483,CASP8;SERPINE1;TNFAIP3,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of myeloid leukocyte differentiation (GO:0002763),3/32,0.00019749,0.015260558,0,0,30.27383367,258.2304958,CCR1;CASP8;EVI2B,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of type I interferon production (GO:0032479),4/85,0.000237652,0.016409818,0,0,14.62907684,122.0753265,UBA7;IRF1;TNFAIP3;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of endothelial cell apoptotic process (GO:2000351),3/35,0.000258618,0.016409818,0,0,27.43152574,226.5887218,CD40;SERPINE1;TNFAIP3,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),5/163,0.000285284,0.016409818,0,0,9.479766015,77.37409049,CD40;CASP8;CASP10;ROR1;TRIM38,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,neutrophil degranulation (GO:0043312),8/479,0.000289585,0.016409818,0,0,5.245981195,42.73933203,FGR;RAP1A;NPC2;COPB1;C3AR1;PYGL;CD58;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041),3/39,0.000357464,0.016880267,0,0,24.37867647,193.4807464,CASP8;SERPINE1;TNFAIP3,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,negative regulation of toll-like receptor 4 signaling pathway (GO:0034144),2/8,0.000343136,0.016880267,0,0,96.24637681,767.794385,TNFAIP3;LILRA2,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,neutrophil mediated immunity (GO:0002446),8/487,0.000323578,0.016880267,0,0,5.156244822,41.43594418,FGR;RAP1A;NPC2;COPB1;C3AR1;PYGL;CD58;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,peptidyl-tyrosine autophosphorylation (GO:0038083),3/45,0.000546635,0.024276364,0,0,20.88970588,156.9177966,FGR;BTK;SLA,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,negative regulation of response to external stimulus (GO:0032102),4/107,0.000571209,0.024276364,0,0,11.49166787,85.81697352,SERPINE1;TNFAIP3;LILRA2;CERS2,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,cellular response to interferon-gamma (GO:0071346),4/116,0.000773776,0.029617774,0,0,10.56343284,75.67884075,IRF1;IRF2;TRIM38;CD58,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,negative regulation of androgen receptor signaling pathway (GO:0060766),2/12,0.000801422,0.029617774,0,0,57.73623188,411.6086844,DAB2;FOXH1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of SMAD protein import into nucleus (GO:0060391),2/12,0.000801422,0.029617774,0,0,57.73623188,411.6086844,DAB2;BMP6,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,enzyme linked receptor protein signaling pathway (GO:0007167),4/120,0.000878314,0.031106946,0,0,10.19711786,71.76228482,FGR;BTK;SLA;MPZL1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091),5/215,0.001003124,0.03279444,0,0,7.113636364,49.11707056,CD40;BTK;ROR1;TRIM38;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,innate immune response activating cell surface receptor signaling pathway (GO:0002220),4/124,0.000992441,0.03279444,0,0,9.855223881,68.15225786,CLEC7A;PLCG2;LILRA2;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,intracellular lipid transport (GO:0032365),2/15,0.00126624,0.039863098,0,0,44.4057971,296.2623215,NPC2;SLC25A20,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of SMAD protein import into nucleus (GO:0060390),2/16,0.001443814,0.040908072,0,0,41.23188406,269.6757711,DAB2;BMP6,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of toll-like receptor 4 signaling pathway (GO:0034143),2/16,0.001443814,0.040908072,0,0,41.23188406,269.6757711,TNFAIP3;LILRA2,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,negative regulation of response to wounding (GO:1903035),2/16,0.001443814,0.040908072,0,0,41.23188406,269.6757711,SERPINE1;CERS2,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of monocyte chemotaxis (GO:0090026),2/17,0.001632573,0.04476411,0,0,38.48115942,246.9566012,CCR1;SERPINE1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,negative regulation of protein binding (GO:0032091),3/67,0.001745309,0.046359782,0,0,13.69370404,86.96629614,DAB2;ADRB2;DISC1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,response to interferon-beta (GO:0035456),2/19,0.002043328,0.046941316,0,0,33.95055413,210.26174,IFITM2;IRF1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,positive regulation of mononuclear cell migration (GO:0071677),2/19,0.002043328,0.046941316,0,0,33.95055413,210.26174,CCR1;SERPINE1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,interferon-gamma-mediated signaling pathway (GO:0060333),3/70,0.001979241,0.046941316,0,0,13.0785777,81.41469116,IRF1;IRF2;TRIM38,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of innate immune response (GO:0045088),3/69,0.001899217,0.046941316,0,0,13.27740642,83.20039258,FGR;IRF1;TNFAIP3,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664),2/18,0.001832438,0.046941316,0,0,36.07427536,227.3439858,LILRA2;BMP6,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,response to lipopolysaccharide (GO:0032496),4/155,0.0022535,0.048828324,0,0,7.8197094,47.66324696,CD40;SERPINE1;TNFAIP3;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,immune response-activating cell surface receptor signaling pathway (GO:0002429),2/20,0.002265166,0.048828324,0,0,32.06280193,195.2659072,C3AR1;LILRA2,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of apoptotic process (GO:0042981),9/815,0.002297803,0.048828324,0,0,3.444068678,20.92547804,PLK3;DAB2;CD40;CASP10;ROR1;EVI2B;VAV1;BMP6;NFKB1,GO_Biological_Process_2018,c7,PD
GO_Biological_Process_2018,regulation of defense response (GO:0031347),3/75,0.002410824,0.049980501,0,0,12.16727941,73.34176387,FGR;IRF1;TNFAIP3,GO_Biological_Process_2018,c7,PD
KEGG_2019_Human,C-type lectin receptor signaling pathway,6/104,1.86E-06,0.000288533,0,0,18.67912088,246.4546722,PLK3;CASP8;CLEC7A;IRF1;PLCG2;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Chemokine signaling pathway,7/190,4.98E-06,0.000371935,0,0,11.8017418,144.1101783,CCR1;FGR;RAP1A;GNG5;GNAI3;VAV1;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Epstein-Barr virus infection,7/201,7.20E-06,0.000371935,0,0,11.1263692,131.7540725,CD40;CASP8;BTK;PLCG2;TNFAIP3;CD58;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,NF-kappa B signaling pathway,5/95,2.21E-05,0.000856256,0,0,16.69949495,179.0197924,CD40;BTK;PLCG2;TNFAIP3;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,TNF signaling pathway,5/110,4.48E-05,0.001388638,0,0,14.3030303,143.2222318,CASP8;CASP10;IRF1;TNFAIP3;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,B cell receptor signaling pathway,4/71,0.000118384,0.003058262,0,0,17.6983738,160.0211607,BTK;PLCG2;VAV1;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Tuberculosis,5/179,0.000438551,0.008995492,0,0,8.601097179,66.50398531,PLK3;CASP8;CLEC7A;CASP10;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Chagas disease (American trypanosomiasis),4/103,0.000494616,0.008995492,0,0,11.95838987,91.02401041,CASP8;SERPINE1;GNAI3;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Kaposi sarcoma-associated herpesvirus infection,5/186,0.000522319,0.008995492,0,0,8.26552821,62.46451641,CCR1;CASP8;GNG5;PLCG2;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Toxoplasmosis,4/113,0.000701385,0.009883147,0,0,10.85581268,78.8398414,CD40;CASP8;GNAI3;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Leukocyte transendothelial migration,4/112,0.00067836,0.009883147,0,0,10.95688226,79.93957108,RAP1A;GNAI3;PLCG2;VAV1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,cAMP signaling pathway,5/212,0.000942125,0.010987735,0,0,7.217830479,50.28931051,RAP1A;GNAI3;ADRB2;VAV1;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Human immunodeficiency virus 1 infection,5/212,0.000942125,0.010987735,0,0,7.217830479,50.28931051,CASP8;GNG5;GNAI3;PLCG2;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Platelet activation,4/124,0.000992441,0.010987735,0,0,9.855223881,68.15225786,RAP1A;BTK;GNAI3;PLCG2,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Osteoclast differentiation,4/127,0.00108461,0.011207637,0,0,9.613396432,65.62618515,BTK;PLCG2;LILRA2;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Human cytomegalovirus infection,5/225,0.001227813,0.011894435,0,0,6.78684573,45.48897606,CCR1;CASP8;GNG5;GNAI3;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Ras signaling pathway,5/232,0.001405905,0.012818546,0,0,6.575223602,43.1799802,RAP1A;GNG5;PLCG2;NFKB1;PLA1A,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Cell adhesion molecules (CAMs),4/145,0.001767467,0.014857534,0,0,8.378532868,53.10488495,SPN;CD40;CD58;MPZL1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Fc epsilon RI signaling pathway,3/68,0.001821246,0.014857534,0,0,13.48235294,85.0498419,BTK;PLCG2;VAV1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,RIG-I-like receptor signaling pathway,3/70,0.001979241,0.01533912,0,0,13.0785777,81.41469116,CASP8;CASP10;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Pertussis,3/76,0.002503561,0.018478662,0,0,12,71.88049533,IRF1;GNAI3;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Complement and coagulation cascades,3/79,0.002794927,0.019691531,0,0,11.5245743,67.76391277,C7;SERPINE1;C3AR1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,IL-17 signaling pathway,3/93,0.004427095,0.029834774,0,0,9.725,52.70961236,CASP8;TNFAIP3;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,AGE-RAGE signaling pathway in diabetic complications,3/100,0.005420056,0.03360435,0,0,9.020012129,47.06325774,SERPINE1;PLCG2;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,HIF-1 signaling pathway,3/100,0.005420056,0.03360435,0,0,9.020012129,47.06325774,SERPINE1;PLCG2;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Toll-like receptor signaling pathway,3/104,0.006042786,0.0360243,0,0,8.661036692,44.24828491,CD40;CASP8;NFKB1,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Primary immunodeficiency,2/37,0.007637181,0.043843073,0,0,16.47536232,80.31288999,CD40;BTK,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Sphingolipid signaling pathway,3/119,0.008749711,0.046765696,0,0,7.535370183,35.7081195,GNAI3;NFKB1;CERS2,KEGG_2019_Human,c7,PD
KEGG_2019_Human,Neurotrophin signaling pathway,3/119,0.008749711,0.046765696,0,0,7.535370183,35.7081195,RAP1A;PLCG2;NFKB1,KEGG_2019_Human,c7,PD
OMIM_Disease,gastric cancer,2/11,0.000669387,0.008702034,0,0,64.15458937,468.9153793,CASP10;IRF1,OMIM_Disease,c7,PD
OMIM_Disease,lung cancer,2/21,0.002497873,0.016236173,0,0,30.37376049,182.0091651,CASP8;IRF1,OMIM_Disease,c7,PD
GO_Biological_Process_2018,regulation of signal transduction by p53 class mediator (GO:1901796),5/138,7.41E-05,0.045439969,0,0,12.83640135,122.0706868,KAT5;TAF10;PRKAG1;TP53;ATRIP,GO_Biological_Process_2018,c8,PD
GO_Biological_Process_2018,cellular nitrogen compound catabolic process (GO:0044270),2/6,0.000118826,0.030630986,0,0,181.2636364,1638.233527,MPST;TST,GO_Biological_Process_2018,c9,PD
GO_Biological_Process_2018,box C/D snoRNP assembly (GO:0000492),2/7,0.000166052,0.030630986,0,0,145.0036364,1261.996895,PIH1D1;RUVBL2,GO_Biological_Process_2018,c9,PD
GO_Biological_Process_2018,establishment of protein localization to chromatin (GO:0071169),2/8,0.000220998,0.030630986,0,0,120.830303,1017.071877,PIH1D1;RUVBL2,GO_Biological_Process_2018,c9,PD
GO_Biological_Process_2018,small nucleolar ribonucleoprotein complex assembly (GO:0000491),2/9,0.00028362,0.030630986,0,0,103.5636364,845.8947721,PIH1D1;RUVBL2,GO_Biological_Process_2018,c9,PD
GO_Biological_Process_2018,regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter (GO:1901836),2/12,0.000517122,0.044679361,0,0,72.48363636,548.5004399,PIH1D1;NOP53,GO_Biological_Process_2018,c9,PD
KEGG_2019_Human,Sulfur relay system,2/8,0.000220998,0.005105164,0,0,120.830303,1017.071877,MPST;TST,KEGG_2019_Human,c9,PD
KEGG_2019_Human,Sulfur metabolism,2/9,0.00028362,0.005105164,0,0,103.5636364,845.8947721,MPST;TST,KEGG_2019_Human,c9,PD
KEGG_2019_Human,"Glycine, serine and threonine metabolism",2/40,0.005806778,0.039774135,0,0,19.04784689,98.07220948,GAMT;GCAT,KEGG_2019_Human,c9,PD
KEGG_2019_Human,Oxidative phosphorylation,3/133,0.006474564,0.039774135,0,0,8.467094017,42.6730874,NDUFS7;NDUFB11;UQCR11,KEGG_2019_Human,c9,PD
KEGG_2019_Human,Proteasome,2/45,0.007303352,0.039774135,0,0,16.82875264,82.78773387,ADRM1;PSMF1,KEGG_2019_Human,c9,PD
KEGG_2019_Human,Parkinson disease,3/142,0.007750552,0.039774135,0,0,7.915267786,38.46813181,NDUFS7;NDUFB11;UQCR11,KEGG_2019_Human,c9,PD
KEGG_2019_Human,Cysteine and methionine metabolism,2/47,0.007945704,0.039774135,0,0,16.07919192,77.74488526,MPST;TST,KEGG_2019_Human,c9,PD
KEGG_2019_Human,Non-alcoholic fatty liver disease (NAFLD),3/149,0.008838697,0.039774135,0,0,7.533105023,35.62115979,NDUFS7;NDUFB11;UQCR11,KEGG_2019_Human,c9,PD
GO_Biological_Process_2018,regulation of microtubule polymerization or depolymerization (GO:0031110),3/18,1.39E-05,0.007942821,0,0,79.728,891.4177241,MAP2;MAP1B;MAP1A,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of supramolecular fiber organization (GO:1902903),3/26,4.38E-05,0.007942821,0,0,51.97565217,521.6725906,MAP2;MAP1B;MAP1A,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,cardiac muscle cell action potential (GO:0086001),3/29,6.12E-05,0.007942821,0,0,45.97153846,446.0236864,ANK2;FGF12;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of protein depolymerization (GO:1901879),2/6,0.00010265,0.007942821,0,0,195.5196078,1795.688136,MAP1B;MAP1A,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of synapse assembly (GO:0051963),3/35,0.000108309,0.007942821,0,0,37.340625,340.9393483,MEF2C;CLSTN3;CLSTN1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of cell morphogenesis involved in differentiation (GO:0010769),3/36,0.000117935,0.007942821,0,0,36.20727273,327.5085556,PAK1;CHN1;HECW1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,sodium ion transmembrane transport (GO:0035725),3/36,0.000117935,0.007942821,0,0,36.20727273,327.5085556,SCN8A;SCN2A;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,cell morphogenesis involved in neuron differentiation (GO:0048667),4/97,0.000126879,0.007942821,0,0,17.42725477,156.3621121,MEF2C;MAP2;MAP1B;MAP1A,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of dendrite development (GO:0050773),3/37,0.000128101,0.007942821,0,0,35.14058824,314.9543398,MEF2C;CAMK1D;HECW1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,membrane depolarization during action potential (GO:0086010),3/38,0.000138821,0.007942821,0,0,34.13485714,303.1969552,SCN8A;SCN2A;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,cellular response to histamine (GO:0071420),2/7,0.000143466,0.007942821,0,0,156.4078431,1384.117094,GABRB2;GABRG2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,peptidyl-amino acid modification (GO:0018193),2/9,0.000245109,0.011642028,0,0,111.7086835,928.7246465,METAP1;METAP2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of neuron projection development (GO:0010975),4/119,0.000278552,0.011642028,0,0,14.07772848,115.2389707,NDRG4;PAK1;CAMK1D;CHN1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,dicarboxylic acid biosynthetic process (GO:0043650),2/10,0.000305866,0.011642028,0,0,97.74019608,790.9491627,GLS2;GLS,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,response to histamine (GO:0034776),2/10,0.000305866,0.011642028,0,0,97.74019608,790.9491627,GABRB2;GABRG2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,glutamine metabolic process (GO:0006541),2/10,0.000305866,0.011642028,0,0,97.74019608,790.9491627,GLS2;GLS,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,"synaptic transmission, GABAergic (GO:0051932)",2/11,0.000373202,0.01336942,0,0,86.87581699,685.7447231,GABRB2;GABRG2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,peptidyl-methionine modification (GO:0018206),2/12,0.000447083,0.015126309,0,0,78.18431373,603.0173367,METAP1;METAP2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,sodium ion transport (GO:0006814),3/58,0.000489126,0.015677788,0,0,21.70036364,165.4194774,SCN8A;SCN2A;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,glutamine family amino acid biosynthetic process (GO:0009084),2/13,0.000527475,0.016061605,0,0,71.07308378,536.417676,GLS2;GLS,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,negative regulation of smooth muscle cell migration (GO:0014912),2/14,0.000614344,0.017815964,0,0,65.14705882,481.7596464,NDRG4;MEF2C,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of synaptic vesicle exocytosis (GO:2000300),2/17,0.000913478,0.019183037,0,0,52.10980392,364.6775042,PREPL;STXBP1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,membrane depolarization during cardiac muscle cell action potential (GO:0086012),2/17,0.000913478,0.019183037,0,0,52.10980392,364.6775042,ANK2;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,N-terminal protein amino acid modification (GO:0031365),2/17,0.000913478,0.019183037,0,0,52.10980392,364.6775042,METAP1;METAP2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881),2/17,0.000913478,0.019183037,0,0,52.10980392,364.6775042,ANK2;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of cation channel activity (GO:2001257),3/71,0.000884294,0.019183037,0,0,17.54029412,123.3209167,MEF2C;ANK2;FGF12,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,glutamine family amino acid catabolic process (GO:0009065),2/16,0.000807379,0.019183037,0,0,55.83473389,397.6392214,GLS2;GLS,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,cardiac muscle cell differentiation (GO:0055007),2/15,0.000707656,0.019183037,0,0,60.13273002,436.1759087,MEF2C;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,neuron projection morphogenesis (GO:0048812),4/163,0.000912453,0.019183037,0,0,10.15941471,71.10953966,PAK1;MAP2;MAP1B;MAP1A,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,gamma-aminobutyric acid signaling pathway (GO:0007214),2/19,0.001144674,0.023236888,0,0,45.97462514,311.369362,GABRB2;GABRG2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,cellular response to ammonium ion (GO:0071242),2/23,0.001682136,0.025610514,0,0,37.21008403,237.6865231,GABRB2;GABRG2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,NAD metabolic process (GO:0019674),2/23,0.001682136,0.025610514,0,0,37.21008403,237.6865231,MDH1;NMNAT2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,vesicle-mediated transport between endosomal compartments (GO:0098927),2/23,0.001682136,0.025610514,0,0,37.21008403,237.6865231,HOOK1;LMTK2,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),2/23,0.001682136,0.025610514,0,0,37.21008403,237.6865231,ANK2;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,neuronal action potential (GO:0019228),2/23,0.001682136,0.025610514,0,0,37.21008403,237.6865231,SCN8A;SCN2A,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of microtubule depolymerization (GO:0031114),2/22,0.001538469,0.025610514,0,0,39.07254902,253.0716424,MAP1B;MAP1A,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,glutamate metabolic process (GO:0006536),2/21,0.001400981,0.025610514,0,0,41.13106295,270.2550486,GLS2;GLS,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882),2/21,0.001400981,0.025610514,0,0,41.13106295,270.2550486,ANK2;SLC8A1,GO_Biological_Process_2018,c10,PD
GO_Biological_Process_2018,modulation of chemical synaptic transmission (GO:0050804),3/82,0.001342368,0.025610514,0,0,15.08962025,99.79248533,MEF2C;CLSTN3;CLSTN1,GO_Biological_Process_2018,c10,PD
